Negative, Neutral,Positive,Sentiment Score,Class
0.218,0.345,0.437,0.219,3
0,1,0,0,2
0,1,0,0,2
0,0.571,0.429,0.429,3
0.608,0.392,0,-0.608,1
0,0.417,0.583,0.583,3
0,0.333,0.667,0.667,3
0,0.156,0.844,0.844,3
0,1,0,0,2
0,1,0,0,2
0,0.353,0.647,0.647,3
0,0.4,0.6,0.6,3
0,1,0,0,2
0,1,0,0,2
0.677,0.323,0,-0.677,1
0,1,0,0,2
0,0.238,0.762,0.762,3
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,0.5,0.5,0.5,3
0,1,0,0,2
0,1,0,0,2
0,0.312,0.688,0.688,3
0,0.571,0.429,0.429,3
0,0.435,0.565,0.565,3
0.744,0.256,0,-0.744,1
0,0.27,0.73,0.73,3
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,0,1,1,3
0,1,0,0,2
0,0.37,0.63,0.63,3
0,1,0,0,2
0.744,0.256,0,-0.744,1
0,1,0,0,2
0,1,0,0,2
0,0.5,0.5,0.5,3
0.756,0.244,0,-0.756,1
0,0.263,0.737,0.737,3
0,0.448,0.552,0.552,3
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,0.278,0.722,0.722,3
1,0,0,-1,1
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0.756,0.244,0,-0.756,1
0,0.7,0.3,0.3,3
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0.744,0.256,0,-0.744,1
0,0.7,0.3,0.3,3
0,0.385,0.615,0.615,3
0,1,0,0,2
0,0.286,0.714,0.714,3
0,0.519,0.481,0.481,3
0,0.625,0.375,0.375,3
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,0.385,0.615,0.615,3
0,0.238,0.762,0.762,3
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0.275,0.268,0.456,0.181,3
0.697,0.303,0,-0.697,1
0.714,0.286,0,-0.714,1
0.756,0.244,0,-0.756,1
0,0.563,0.437,0.437,3
0,0.5,0.5,0.5,3
0,1,0,0,2
0,1,0,0,2
0,0.69,0.31,0.31,3
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0.196,0.412,0.392,0.196,3
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0.767,0.233,0,-0.767,1
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0.762,0.238,0,-0.762,1
0,1,0,0,2
0,1,0,0,2
0.75,0.25,0,-0.75,1
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,0.303,0.697,0.697,3
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0.706,0.294,0,-0.706,1
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,0.309,0.691,0.691,3
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0.714,0.286,0,-0.714,1
0,0,1,1,3
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,0.577,0.423,0.423,3
0,1,0,0,2
1,0,0,-1,1
0,1,0,0,2
0,1,0,0,2
0.272,0.37,0.358,0.086,3
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,0.5,0.5,0.5,3
0,1,0,0,2
0,1,0,0,2
0.608,0.392,0,-0.608,1
0,1,0,0,2
1,0,0,-1,1
0,1,0,0,2
0,1,0,0,2
0,0.278,0.722,0.722,3
0,1,0,0,2
0,1,0,0,2
0.655,0.345,0,-0.655,1
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0.655,0.345,0,-0.655,1
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,0.421,0.579,0.579,3
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0.737,0.263,0,-0.737,1
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0.524,0.476,0,-0.524,1
0,0.575,0.425,0.425,3
0,1,0,0,2
0.512,0.488,0,-0.512,1
0.706,0.294,0,-0.706,1
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0.688,0.312,0,-0.688,1
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0.688,0.312,0,-0.688,1
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
