Negative,Neutral,Positive,Sentiment score,Class
0.247,0.285,0.468,0.221,3
0.044,0.166,0.79,0.746,3
0.035,0.272,0.693,0.657,3
0.052,0.219,0.729,0.678,3
0.436,0.22,0.343,-0.093,1
0.053,0.193,0.754,0.701,3
0.06,0.237,0.704,0.644,3
0.094,0.249,0.657,0.563,3
0.042,0.285,0.674,0.632,3
0.104,0.271,0.624,0.52,3
0.127,0.296,0.577,0.449,3
0.062,0.218,0.72,0.657,3
0.052,0.227,0.721,0.669,3
0.115,0.248,0.637,0.521,3
0.591,0.186,0.223,-0.368,1
0.081,0.421,0.498,0.417,3
0.113,0.31,0.576,0.463,3
0.112,0.444,0.444,0.332,3
0.1,0.337,0.563,0.463,3
0.101,0.238,0.661,0.559,3
0.164,0.241,0.596,0.432,3
0.072,0.301,0.627,0.555,3
0.137,0.305,0.558,0.421,3
0.591,0.192,0.217,-0.374,1
0.045,0.177,0.779,0.734,3
0.043,0.201,0.755,0.712,3
0.072,0.299,0.629,0.557,3
0.464,0.219,0.318,-0.146,1
0.264,0.282,0.454,0.19,3
0.039,0.184,0.777,0.738,3
0.112,0.322,0.566,0.455,3
0.006,0.987,0.007,0.001,3
0.04,0.27,0.69,0.65,3
0.045,0.257,0.699,0.654,3
0.033,0.204,0.763,0.73,3
0.052,0.545,0.403,0.351,3
0.327,0.327,0.345,0.018,3
0.051,0.241,0.708,0.657,3
0.031,0.655,0.314,0.283,3
0.09,0.853,0.057,-0.032,1
0.028,0.479,0.493,0.465,3
0.532,0.108,0.36,-0.173,1
0.106,0.297,0.597,0.491,3
0.384,0.225,0.391,0.007,3
0.039,0.231,0.73,0.691,3
0.046,0.277,0.677,0.631,3
0.135,0.272,0.593,0.459,3
0.422,0.237,0.341,-0.08,1
0.097,0.27,0.634,0.537,3
0.041,0.18,0.78,0.739,3
0.141,0.237,0.623,0.482,3
0.124,0.613,0.263,0.139,3
0.281,0.317,0.402,0.12,3
0.493,0.209,0.298,-0.194,1
0.043,0.205,0.752,0.709,3
0.192,0.29,0.518,0.326,3
0.078,0.189,0.733,0.656,3
0.063,0.586,0.351,0.287,3
0.479,0.161,0.361,-0.118,1
0.155,0.281,0.564,0.409,3
0.132,0.313,0.555,0.423,3
0.431,0.219,0.351,-0.08,1
0.166,0.581,0.253,0.086,3
0.485,0.174,0.34,-0.145,1
0.292,0.237,0.471,0.178,3
0.265,0.243,0.492,0.228,3
0.468,0.27,0.261,-0.207,1
